Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
476,2010_15_ARI_CAR,2010,CAR,ARI,15,REG,panthers,cardinals,https://www.nfl.com/plus/games/cardinals-at-panthers-2010-reg-15/
2936,2019_20_TEN_KC,2019,KC,TEN,3,POST,chiefs,titans,https://www.nfl.com/plus/games/titans-at-chiefs-2019-post-3/
1460,2014_09_IND_NYG,2014,NYG,IND,9,REG,giants,colts,https://www.nfl.com/plus/games/colts-at-giants-2014-reg-9/
1508,2014_12_STL_SD,2014,LAC,LA,12,REG,chargers,rams,https://www.nfl.com/plus/games/rams-at-chargers-2014-reg-12/
1491,2014_11_OAK_SD,2014,LAC,LV,11,REG,chargers,raiders,https://www.nfl.com/plus/games/raiders-at-chargers-2014-reg-11/
1768,2015_12_MIA_NYJ,2015,NYJ,MIA,12,REG,jets,dolphins,https://www.nfl.com/plus/games/dolphins-at-jets-2015-reg-12/
65,2009_05_CLE_BUF,2009,BUF,CLE,5,REG,bills,browns,https://www.nfl.com/plus/games/browns-at-bills-2009-reg-5/
3564,2022_06_NE_CLE,2022,CLE,NE,6,REG,browns,patriots,https://www.nfl.com/plus/games/patriots-at-browns-2022-reg-6/
1735,2015_10_ARI_SEA,2015,SEA,ARI,10,REG,seahawks,cardinals,https://www.nfl.com/plus/games/cardinals-at-seahawks-2015-reg-10/
302,2010_03_CIN_CAR,2010,CAR,CIN,3,REG,panthers,bengals,https://www.nfl.com/plus/games/bengals-at-panthers-2010-reg-3/
2008,2016_10_DEN_NO,2016,NO,DEN,10,REG,saints,broncos,https://www.nfl.com/plus/games/broncos-at-saints-2016-reg-10/
3659,2022_13_IND_DAL,2022,DAL,IND,13,REG,cowboys,colts,https://www.nfl.com/plus/games/colts-at-cowboys-2022-reg-13/
306,2010_03_GB_CHI,2010,CHI,GB,3,REG,bears,packers,https://www.nfl.com/plus/games/packers-at-bears-2010-reg-3/
1769,2015_12_MIN_ATL,2015,ATL,MIN,12,REG,falcons,vikings,https://www.nfl.com/plus/games/vikings-at-falcons-2015-reg-12/
